iter	RMSE
0	1.409106427
1	1.408892579
2	1.408715233
3	1.408440741
4	1.408224395
5	1.408073434
6	1.407858693
7	1.407737424
8	1.407539296
9	1.40735885
10	1.407185875
11	1.406987056
12	1.406861532
13	1.406648849
14	1.406504283
15	1.40634809
16	1.406200911
17	1.406047642
18	1.405849718
19	1.405705635
20	1.405535457
21	1.405389573
22	1.405191442
23	1.405017666
24	1.404799786
25	1.404608045
26	1.404368981
27	1.404121746
28	1.403961434
29	1.403839927
30	1.403636792
31	1.403505409
32	1.403299515
33	1.403107793
34	1.402926308
35	1.402678697
36	1.402493134
37	1.402369016
38	1.402200172
39	1.401995424
40	1.401841479
41	1.401696363
42	1.401515738
43	1.401352032
44	1.401169567
45	1.401073366
46	1.400896938
47	1.400678829
48	1.400487602
49	1.400349696
50	1.400225443
51	1.400044072
52	1.399955558
53	1.399821113
54	1.39957305
55	1.399475376
56	1.39924326
57	1.399018314
58	1.398880876
59	1.398758719
60	1.398646205
61	1.39851164
62	1.398407453
63	1.398281093
64	1.398164106
65	1.398010868
66	1.397890339
67	1.397702607
68	1.39753106
69	1.397364737
70	1.397226363
71	1.397099704
72	1.396941837
73	1.39679066
74	1.396668549
75	1.396530573
76	1.396411075
77	1.396218614
78	1.396099719
79	1.395974444
80	1.395887331
81	1.395736733
82	1.395590908
83	1.395495552
84	1.395297358
85	1.395174846
86	1.395007579
87	1.394839832
88	1.394735029
89	1.394610354
90	1.394471081
91	1.394288592
92	1.394149539
93	1.393964686
94	1.393850035
95	1.393701478
96	1.393542025
97	1.393409168
98	1.393295106
99	1.393137967
100	1.392961364
101	1.392791629
102	1.392681762
103	1.392537677
104	1.39240921
105	1.392246664
106	1.392138352
107	1.392001607
108	1.391855178
109	1.391696476
110	1.391501194
111	1.391337364
112	1.39122626
113	1.391036935
114	1.390858477
115	1.390678675
116	1.390530872
117	1.390334537
118	1.390206186
119	1.390087643
120	1.38993297
121	1.389765927
122	1.389614845
123	1.389446774
124	1.389295683
125	1.389115139
126	1.388950429
127	1.388804524
128	1.388606026
129	1.388454743
130	1.388325573
131	1.388203994
132	1.38811068
133	1.387994256
134	1.38784277
135	1.387655242
136	1.387514485
137	1.387329329
138	1.387160184
139	1.387022499
140	1.386858083
141	1.386699514
142	1.386560951
143	1.386432291
144	1.386257825
145	1.386112591
146	1.385957024
147	1.385818962
148	1.385625473
149	1.385428446
150	1.385196472
151	1.38508608
152	1.384921342
153	1.384764631
154	1.384567019
155	1.384407778
156	1.3842506
157	1.384068969
158	1.383879921
159	1.383708258
160	1.383531239
161	1.38337833
162	1.383243278
